N_PROF,N_LEVELS,PRES,TEMP,PSAL,LATITUDE,LONGITUDE
0,0,0.4,28.753,34.639,-1.0,78.35
0,1,1.0,28.752,34.639,-1.0,78.35
0,2,1.9,28.751,34.642,-1.0,78.35
0,3,3.0,28.748,34.645,-1.0,78.35
0,4,4.0,28.751,34.644,-1.0,78.35
0,5,5.0,28.751,34.645,-1.0,78.35
0,6,6.0,28.751,34.645,-1.0,78.35
0,7,7.2,28.749,34.649,-1.0,78.35
0,8,8.0,28.751,34.648,-1.0,78.35
0,9,8.8,28.752,34.647,-1.0,78.35
0,10,9.7,28.754,34.647,-1.0,78.35
0,11,15.1,28.715,34.67,-1.0,78.35
0,12,25.1,28.475,34.775,-1.0,78.35
0,13,34.8,28.131,34.9,-1.0,78.35
0,14,45.2,27.988,34.933,-1.0,78.35
0,15,55.8,27.875,34.937,-1.0,78.35
0,16,66.1,27.767,34.95,-1.0,78.35
0,17,75.3,27.208,35.003,-1.0,78.35
0,18,85.4,26.487,35.074,-1.0,78.35
0,19,95.4,24.56,35.156,-1.0,78.35
0,20,105.5,20.296,35.217,-1.0,78.35
0,21,115.1,17.876,35.194,-1.0,78.35
0,22,125.5,16.274,35.155,-1.0,78.35
0,23,135.4,15.714,35.15,-1.0,78.35
0,24,145.3,15.424,35.143,-1.0,78.35
0,25,154.9,15.027,35.132,-1.0,78.35
0,26,165.4,14.343,35.116,-1.0,78.35
0,27,175.9,13.821,35.1,-1.0,78.35
0,28,185.8,13.117,35.089,-1.0,78.35
0,29,195.2,12.764,35.082,-1.0,78.35
0,30,212.7,12.52,35.073,-1.0,78.35
0,31,238.1,12.114,35.058,-1.0,78.35
0,32,262.9,11.879,35.049,-1.0,78.35
0,33,287.8,11.687,35.037,-1.0,78.35
0,34,312.6,11.53,35.03,-1.0,78.35
0,35,337.8,11.425,35.03,-1.0,78.35
0,36,362.6,11.273,35.021,-1.0,78.35
0,37,388.2,11.094,35.004,-1.0,78.35
0,38,412.5,10.667,34.961,-1.0,78.35
0,39,438.0,10.36,34.946,-1.0,78.35
