N_PROF,N_LEVELS,PRES,TEMP,PSAL,LATITUDE,LONGITUDE
0,0,2.5,28.59,34.764,0.035785,79.116755
0,1,3.5,28.593,34.762,0.035785,79.116755
0,2,4.5,28.6,34.759,0.035785,79.116755
0,3,5.4,28.596,34.761,0.035785,79.116755
0,4,6.4,28.595,34.763,0.035785,79.116755
0,5,7.5,28.595,34.763,0.035785,79.116755
0,6,8.5,28.596,34.763,0.035785,79.116755
0,7,9.4,28.598,34.763,0.035785,79.116755
0,8,10.4,28.599,34.763,0.035785,79.116755
0,9,11.5,28.599,34.763,0.035785,79.116755
0,10,12.5,28.596,34.766,0.035785,79.116755
0,11,13.5,28.593,34.768,0.035785,79.116755
0,12,14.5,28.589,34.771,0.035785,79.116755
0,13,15.5,28.573,34.781,0.035785,79.116755
0,14,16.5,28.553,34.795,0.035785,79.116755
0,15,17.6,28.518,34.815,0.035785,79.116755
0,16,18.6,28.519,34.814,0.035785,79.116755
0,17,19.5,28.507,34.821,0.035785,79.116755
0,18,24.8,28.44,34.88,0.035785,79.116755
0,19,34.9,28.249,35.025,0.035785,79.116755
0,20,45.1,28.099,35.057,0.035785,79.116755
0,21,55.0,28.01,35.06,0.035785,79.116755
0,22,65.0,27.892,35.052,0.035785,79.116755
0,23,74.9,27.851,35.039,0.035785,79.116755
0,24,84.7,27.652,35.017,0.035785,79.116755
0,25,94.8,27.528,35.024,0.035785,79.116755
0,26,105.0,27.486,35.055,0.035785,79.116755
0,27,115.0,25.75,35.144,0.035785,79.116755
0,28,124.8,19.663,35.211,0.035785,79.116755
0,29,134.7,17.657,35.191,0.035785,79.116755
0,30,145.1,16.704,35.162,0.035785,79.116755
0,31,155.2,16.443,35.152,0.035785,79.116755
0,32,165.1,15.18,35.126,0.035785,79.116755
0,33,175.1,14.006,35.101,0.035785,79.116755
0,34,185.0,13.362,35.094,0.035785,79.116755
0,35,194.7,12.996,35.085,0.035785,79.116755
0,36,210.0,12.705,35.074,0.035785,79.116755
0,37,230.0,12.341,35.063,0.035785,79.116755
0,38,250.2,12.124,35.055,0.035785,79.116755
0,39,270.1,11.887,35.046,0.035785,79.116755
0,40,290.1,11.755,35.043,0.035785,79.116755
0,41,310.2,11.479,35.034,0.035785,79.116755
0,42,330.1,11.197,35.017,0.035785,79.116755
0,43,349.8,11.135,35.009,0.035785,79.116755
0,44,369.9,10.776,34.989,0.035785,79.116755
0,45,390.4,10.528,34.997,0.035785,79.116755
0,46,410.4,10.296,34.981,0.035785,79.116755
0,47,429.8,10.181,34.979,0.035785,79.116755
0,48,450.2,10.05,34.981,0.035785,79.116755
0,49,469.9,9.992,34.989,0.035785,79.116755
0,50,489.8,9.864,34.983,0.035785,79.116755
0,51,512.2,9.602,34.968,0.035785,79.116755
0,52,537.5,9.45,34.976,0.035785,79.116755
0,53,562.7,9.358,34.999,0.035785,79.116755
0,54,587.3,9.332,35.004,0.035785,79.116755
0,55,612.3,9.217,34.992,0.035785,79.116755
0,56,637.4,9.073,34.989,0.035785,79.116755
0,57,662.6,8.698,34.978,0.035785,79.116755
0,58,687.7,8.317,34.971,0.035785,79.116755
0,59,712.5,8.171,34.973,0.035785,79.116755
0,60,737.6,8.101,34.972,0.035785,79.116755
0,61,762.6,8.016,34.972,0.035785,79.116755
0,62,787.6,7.761,34.959,0.035785,79.116755
0,63,812.6,7.579,34.949,0.035785,79.116755
0,64,837.6,7.668,34.976,0.035785,79.116755
0,65,862.8,7.577,34.969,0.035785,79.116755
0,66,887.4,7.427,34.955,0.035785,79.116755
0,67,912.6,7.239,34.948,0.035785,79.116755
0,68,937.3,7.026,34.936,0.035785,79.116755
0,69,962.5,6.929,34.932,0.035785,79.116755
0,70,987.5,6.808,34.922,0.035785,79.116755
0,71,1024.9,6.406,34.909,0.035785,79.116755
0,72,1075.0,6.203,34.909,0.035785,79.116755
0,73,1124.9,6.079,34.904,0.035785,79.116755
0,74,1176.1,5.909,34.898,0.035785,79.116755
0,75,1224.2,5.65,34.886,0.035785,79.116755
0,76,1274.7,5.384,34.875,0.035785,79.116755
0,77,1325.0,5.264,34.872,0.035785,79.116755
0,78,1374.9,5.127,34.864,0.035785,79.116755
0,79,1425.1,4.787,34.847,0.035785,79.116755
0,80,1475.4,4.667,34.843,0.035785,79.116755
0,81,1524.6,4.451,34.837,0.035785,79.116755
0,82,1575.0,4.258,34.829,0.035785,79.116755
0,83,1625.0,3.909,34.815,0.035785,79.116755
0,84,1675.1,3.787,34.811,0.035785,79.116755
0,85,1724.6,3.633,34.803,0.035785,79.116755
0,86,1774.7,3.485,34.797,0.035785,79.116755
0,87,1825.1,3.382,34.791,0.035785,79.116755
0,88,1875.1,3.244,34.786,0.035785,79.116755
0,89,1924.9,3.112,34.781,0.035785,79.116755
0,90,1972.0,3.031,34.778,0.035785,79.116755
0,91,,,,0.035785,79.116755
0,92,,,,0.035785,79.116755
0,93,,,,0.035785,79.116755
1,0,2.5,29.05,34.504,-0.39894666666666667,80.1776
1,1,3.5,29.059,34.512,-0.39894666666666667,80.1776
1,2,4.6,29.057,34.539,-0.39894666666666667,80.1776
1,3,5.6,29.055,34.548,-0.39894666666666667,80.1776
1,4,6.5,29.051,34.552,-0.39894666666666667,80.1776
1,5,7.5,29.039,34.556,-0.39894666666666667,80.1776
1,6,8.5,29.032,34.558,-0.39894666666666667,80.1776
1,7,9.5,29.018,34.562,-0.39894666666666667,80.1776
1,8,10.5,28.97,34.565,-0.39894666666666667,80.1776
1,9,11.5,28.926,34.572,-0.39894666666666667,80.1776
1,10,12.5,28.905,34.574,-0.39894666666666667,80.1776
1,11,13.5,28.889,34.576,-0.39894666666666667,80.1776
1,12,14.5,28.868,34.579,-0.39894666666666667,80.1776
1,13,15.5,28.862,34.581,-0.39894666666666667,80.1776
1,14,16.5,28.86,34.582,-0.39894666666666667,80.1776
1,15,17.5,28.859,34.583,-0.39894666666666667,80.1776
